date,co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi
2020-11-25 01:00:00,680.92,0.01,18.17,33.26,8.58,120.64,132.55,4.5,5
2020-11-25 02:00:00,867.84,1.15,22.96,28.61,13.83,147.23,161.81,4.18,5
2020-11-25 03:00:00,1068.12,5.2,23.65,37.91,26.46,186.13,203.63,1.46,5
2020-11-25 04:00:00,1281.74,7.49,28.79,62.23,62.94,250.55,270.87,0.0,5
2020-11-25 05:00:00,1361.85,6.71,30.85,95.84,78.2,286.81,307.6,0.0,5
2020-11-25 06:00:00,1348.5,3.8,26.39,155.93,82.02,312.68,333.02,0.0,5
2020-11-25 07:00:00,961.3,1.17,12.51,214.58,55.31,249.75,263.69,0.0,5
2020-11-25 08:00:00,821.11,0.7,9.17,234.6,44.35,216.72,227.98,0.0,5
2020-11-25 09:00:00,787.74,0.64,10.71,240.33,43.39,198.67,208.88,0.0,5
2020-11-25 10:00:00,867.84,0.73,18.17,220.3,41.01,190.09,200.3,0.29,5
2020-11-25 11:00:00,1054.76,0.39,31.19,178.81,39.1,188.59,199.73,3.86,5
2020-11-25 12:00:00,1268.39,0.01,40.78,131.61,36.72,183.71,195.78,7.28,5
2020-11-25 13:00:00,1361.85,0.0,43.87,98.71,35.76,176.37,189.14,9.37,5
2020-11-25 14:00:00,1255.04,0.0,37.7,87.26,32.42,168.46,181.71,9.75,5
2020-11-25 15:00:00,1108.17,0.0,31.53,87.26,28.61,166.31,179.92,9.63,5
2020-11-25 16:00:00,1054.76,0.0,29.47,86.55,27.9,170.04,183.79,9.37,5
2020-11-25 17:00:00,1081.47,0.0,28.79,82.25,24.56,176.25,190.59,9.88,5
2020-11-25 18:00:00,1068.12,0.0,27.08,75.82,19.07,179.42,193.76,10.26,5
2020-11-25 19:00:00,1001.36,0.0,23.31,68.67,12.88,176.99,190.52,10.13,5
2020-11-25 20:00:00,921.25,0.0,19.54,62.94,9.18,174.15,187.08,8.87,5
2020-11-25 21:00:00,854.49,0.0,17.14,57.94,7.63,174.07,186.77,6.46,5
2020-11-25 22:00:00,821.11,0.0,14.91,54.36,6.97,178.1,191.03,4.69,5
2020-11-25 23:00:00,827.79,0.0,13.54,51.5,7.33,189.39,203.02,3.48,5
2020-11-26 00:00:00,881.2,0.0,13.71,47.92,8.82,206.36,220.71,2.66,5
2020-11-26 01:00:00,1001.36,0.0,17.82,41.13,12.16,228.28,243.59,1.96,5
2020-11-26 02:00:00,1188.28,0.55,23.31,32.9,15.97,248.82,265.58,1.77,5
2020-11-26 03:00:00,1321.79,3.1,24.33,36.84,21.94,263.81,282.27,0.45,5
2020-11-26 04:00:00,1281.74,4.19,25.02,55.79,38.62,274.17,293.83,0.0,5
2020-11-26 05:00:00,1308.44,4.53,29.13,76.53,55.79,295.11,315.68,0.0,5
2020-11-26 06:00:00,1321.79,3.74,32.9,107.29,70.57,320.35,341.59,0.0,5
2020-11-26 07:00:00,1134.87,1.75,25.71,153.07,63.9,302.18,320.24,0.0,5
2020-11-26 08:00:00,1068.12,1.03,23.65,180.24,59.13,288.35,304.59,0.0,5
2020-11-26 09:00:00,1028.06,0.62,22.96,191.69,56.27,269.68,284.42,0.0,5
2020-11-26 10:00:00,1028.06,0.25,24.33,181.68,51.5,248.25,261.84,0.0,5
2020-11-26 11:00:00,1068.12,0.07,28.1,157.36,46.73,227.3,240.21,0.0,5
2020-11-26 12:00:00,1121.52,0.0,31.19,130.18,45.3,208.55,220.91,0.0,5
2020-11-26 13:00:00,1174.93,0.0,33.59,108.72,45.3,195.0,207.39,1.46,5
2020-11-26 14:00:00,1174.93,0.0,31.53,95.84,39.1,184.6,197.61,4.37,5
2020-11-26 15:00:00,1134.87,0.0,28.79,88.69,31.95,175.22,188.96,6.59,5
2020-11-26 16:00:00,1081.47,0.0,28.45,80.82,28.61,166.48,180.58,7.79,5
2020-11-26 17:00:00,1001.36,0.0,26.05,75.1,25.03,155.01,168.9,8.23,5
2020-11-26 18:00:00,881.2,0.0,21.08,72.96,18.12,139.85,152.83,8.04,5
2020-11-26 19:00:00,781.06,0.0,16.45,70.1,10.85,127.61,139.43,7.73,5
2020-11-26 20:00:00,720.98,0.0,14.05,61.51,6.5,119.72,130.81,8.74,5
2020-11-26 21:00:00,680.92,0.0,12.85,52.93,4.83,114.72,125.44,9.75,5
2020-11-26 22:00:00,647.54,0.0,11.48,47.92,3.79,110.69,121.16,10.13,5
2020-11-26 23:00:00,620.84,0.0,9.85,47.21,2.98,107.04,117.14,9.37,5
2020-11-27 00:00:00,607.49,0.0,9.0,49.35,2.65,105.37,114.86,8.23,5
2020-11-27 01:00:00,620.84,0.0,11.14,55.79,4.47,112.51,121.63,6.52,5
2020-11-27 02:00:00,707.63,0.05,16.11,54.36,8.23,129.23,138.68,5.51,5
2020-11-27 03:00:00,787.74,0.42,19.54,51.5,12.76,148.08,157.88,4.02,5
2020-11-27 04:00:00,727.65,1.33,20.05,54.36,21.46,162.82,172.64,0.67,5
2020-11-27 05:00:00,634.19,2.01,19.88,62.23,29.09,164.37,173.92,0.0,5
2020-11-27 06:00:00,554.09,1.87,17.99,82.25,30.99,147.67,156.11,0.0,5
2020-11-27 07:00:00,370.5,0.79,10.2,104.43,18.6,75.82,80.03,0.11,5
2020-11-27 08:00:00,313.76,0.43,7.97,107.29,13.11,45.89,48.86,1.06,4
2020-11-27 09:00:00,303.75,0.29,8.23,104.43,12.64,34.32,37.18,1.93,4
2020-11-27 10:00:00,327.11,0.18,9.94,100.14,12.64,31.98,35.26,3.07,4
2020-11-27 11:00:00,360.49,0.06,11.48,94.41,11.92,31.52,35.12,4.31,4
2020-11-27 12:00:00,387.19,0.0,11.48,90.84,10.37,29.61,33.28,5.13,4
2020-11-27 13:00:00,427.25,0.0,13.02,85.83,8.82,28.34,32.41,6.21,4
2020-11-27 14:00:00,467.3,0.0,13.37,80.11,7.63,28.6,33.52,7.6,4
2020-11-27 15:00:00,473.98,0.0,12.68,75.82,6.68,29.51,35.34,8.61,4
2020-11-27 16:00:00,487.33,0.0,13.2,69.38,6.74,30.77,37.33,9.63,4
2020-11-27 17:00:00,507.36,0.0,14.91,60.08,7.87,32.96,40.23,10.77,4
2020-11-27 18:00:00,527.38,0.0,16.62,50.78,8.94,35.47,43.15,11.53,4
2020-11-27 19:00:00,540.73,0.0,17.31,41.84,8.58,37.94,45.67,11.91,4
2020-11-27 20:00:00,540.73,0.0,16.45,33.62,7.09,41.05,48.82,12.54,4
2020-11-27 21:00:00,534.06,0.0,15.77,26.82,6.02,45.2,52.98,12.92,4
2020-11-27 22:00:00,527.38,0.01,15.42,22.53,5.42,51.65,59.27,12.92,5
2020-11-27 23:00:00,520.71,0.01,16.28,20.03,5.48,60.92,68.12,11.91,5
2020-11-28 00:00:00,527.38,0.02,18.17,18.77,5.54,69.58,76.5,10.77,5
